SgnYear,AreaID,CountyName,PrefLevCity,Province,CountyCode,Loan,Deposit,SavingsDeposit
2000.0,20404317,娄烦县,太原市,山西省,140123,1.79,,2.42
2000.0,20404325,阳高县,大同市,山西省,140221,5.35,,6.25
2000.0,20404326,天镇县,大同市,山西省,140222,3.0,,4.12
2000.0,20404327,广灵县,大同市,山西省,140223,4.04,,3.71
2000.0,20404328,灵丘县,大同市,山西省,140224,3.79,,5.59
2000.0,20404329,浑源县,大同市,山西省,140225,4.8,,7.12
2000.0,20404466,平顺县,长治市,山西省,140425,3.2,,3.74
2000.0,20404468,壶关县,长治市,山西省,140427,3.6,,6.43
2000.0,20404470,武乡县,长治市,山西省,140429,3.6,,4.4
2000.0,20404253,右玉县,朔州市,山西省,140623,1.71,,2.7
2000.0,20404259,左权县,晋中市,山西省,140722,3.12,,5.46
2000.0,20404260,和顺县,晋中市,山西省,140723,2.13,,3.32
2000.0,20404157,平陆县,运城市,山西省,140829,4.56,,5.95
2000.0,20404165,五台县,忻州市,山西省,140922,7.55,,13.06
2000.0,20404166,代县,忻州市,山西省,140923,4.06,,8.31
2000.0,20404167,繁峙县,忻州市,山西省,140924,4.13,,7.23
2000.0,20404168,宁武县,忻州市,山西省,140925,3.44,,5.48
2000.0,20404169,静乐县,忻州市,山西省,140926,1.41,,2.21
2000.0,20404170,神池县,忻州市,山西省,140927,2.16,,3.53
2000.0,20404171,五寨县,忻州市,山西省,140928,2.37,,5.75
2000.0,20404172,岢岚县,忻州市,山西省,140929,1.68,,2.96
2000.0,20404173,河曲县,忻州市,山西省,140930,6.04,,6.53
2000.0,20404174,保德县,忻州市,山西省,140931,3.7,,3.96
2000.0,20404225,偏关县,忻州市,山西省,140932,2.0,,4.68
2000.0,20404237,吉县,临汾市,山西省,141028,1.09,,1.23
2000.0,20404239,大宁县,临汾市,山西省,141030,1.13,,0.68
2000.0,20404240,隰县,临汾市,山西省,141031,1.81,,2.01
2000.0,20404241,永和县,临汾市,山西省,141032,1.27,,0.85
2000.0,20404342,汾西县,临汾市,山西省,141034,0.86,,1.38
2000.0,20404812,延寿县,哈尔滨市,黑龙江省,230129,15.21,,1.81
2000.0,20404880,龙江县,齐齐哈尔市,黑龙江省,230221,21.01,,7.61
2000.0,20404882,泰来县,齐齐哈尔市,黑龙江省,230224,11.07,,4.53
2000.0,20404883,甘南县,齐齐哈尔市,黑龙江省,230225,9.69,,7.72
2000.0,20404983,富裕县,齐齐哈尔市,黑龙江省,230227,11.17,,6.11
2000.0,20404985,克东县,齐齐哈尔市,黑龙江省,230230,8.51,,4.33
2000.0,20404986,拜泉县,齐齐哈尔市,黑龙江省,230231,11.94,,6.67
2000.0,20405113,绥滨县,鹤岗市,黑龙江省,230422,25.19,,4.71
2000.0,20405123,饶河县,双鸭山市,黑龙江省,230524,16.22,,4.93
2000.0,20405002,林甸县,大庆市,黑龙江省,230623,10.43,,5.77
2000.0,20404906,桦南县,佳木斯市,黑龙江省,230822,15.61,,9.83
2000.0,20404907,桦川县,佳木斯市,黑龙江省,230826,13.71,,4.9
2000.0,20404908,汤原县,佳木斯市,黑龙江省,230828,14.41,,7.69
2000.0,20404910,同江市,佳木斯市,黑龙江省,230881,20.17,,3.91
2000.0,20404941,望奎县,绥化市,黑龙江省,231221,17.7,,6.91
2000.0,20404942,兰西县,绥化市,黑龙江省,231222,18.26,,6.41
2000.0,20404943,青冈县,绥化市,黑龙江省,231223,13.77,,6.44
2000.0,20404945,明水县,绥化市,黑龙江省,231225,13.32,,5.27
2000.0,20404949,海伦市,绥化市,黑龙江省,231283,29.78,,13.2
2000.0,20405284,太湖县,安庆市,安徽省,340825,8.58,,5.53
2000.0,20405285,宿松县,安庆市,安徽省,340826,12.81,,9.7
2000.0,20405286,望江县,安庆市,安徽省,340827,12.66,,6.86
2000.0,20405287,岳西县,安庆市,安徽省,340828,6.85,,4.66
2000.0,20405313,临泉县,阜阳市,安徽省,341221,22.52,,17.47
2000.0,20405315,阜南县,阜阳市,安徽省,341225,16.94,,12.65
2000.0,20405316,颍上县,阜阳市,安徽省,341226,18.77,,14.69
2000.0,20405321,砀山县,宿州市,安徽省,341321,14.63,,14.65
2000.0,20405322,萧县,宿州市,安徽省,341322,17.83,,16.11
2000.0,20405323,灵璧县,宿州市,安徽省,341323,17.04,,9.74
2000.0,20405324,泗县,宿州市,安徽省,341324,12.29,,6.54
2000.0,20405330,霍邱县,六安市,安徽省,341522,25.85,,11.58
